delay,pdf_c9_mapped_timing,pdf_c3_mapped_timing,pdf_c2_mapped_timing,pdf_c7_mapped_timing,pdf_c1_mapped_timing,pdf_c4_mapped_timing,pdf_c5_mapped_timing,pdf_c8_mapped_timing,pdf_c6_mapped_timing
8.70000000E-02,0.00008906,0.00000198,0.35954100,0.00005483,6.09083600,0.00000875,0.00000914,0.00009960,0.00002774
8.80000000E-02,0.00008900,0.00000234,0.38158840,0.00005479,6.07575000,0.00000875,0.00000913,0.00009954,0.00002772
8.90000000E-02,0.00008895,0.00000278,0.40434290,0.00005476,6.05886600,0.00000874,0.00000913,0.00009947,0.00002771
9.00000000E-02,0.00008889,0.00000332,0.42779410,0.00005473,6.04027200,0.00000874,0.00000912,0.00009941,0.00002769
9.10000000E-02,0.00008883,0.00000397,0.45193030,0.00005469,6.02005200,0.00000873,0.00000912,0.00009934,0.00002767
9.20000000E-02,0.00008878,0.00000475,0.47673860,0.00005466,5.99829100,0.00000873,0.00000911,0.00009928,0.00002766
9.30000000E-02,0.00008872,0.00000569,0.50220500,0.00005463,5.97506600,0.00000872,0.00000911,0.00009921,0.00002764
9.40000000E-02,0.00008867,0.00000681,0.52831450,0.00005459,5.95045700,0.00000872,0.00000910,0.00009915,0.00002763
9.50000000E-02,0.00008861,0.00000814,0.55505100,0.00005456,5.92453600,0.00000871,0.00000910,0.00009909,0.00002761
9.60000000E-02,0.00008855,0.00000971,0.58239760,0.00005453,5.89737700,0.00000871,0.00000909,0.00009902,0.00002760
9.70000000E-02,0.00008850,0.00001157,0.61033620,0.00005449,5.86904900,0.00000871,0.00000909,0.00009896,0.00002758
9.80000000E-02,0.00008844,0.00001376,0.63884830,0.00005446,5.83961900,0.00000870,0.00000909,0.00009889,0.00002756
9.90000000E-02,0.00008839,0.00001633,0.66791450,0.00005443,5.80915100,0.00000870,0.00000908,0.00009883,0.00002755
1.00000000E-01,0.00008833,0.00001933,0.69751440,0.00005440,5.77770800,0.00000869,0.00000908,0.00009877,0.00002753
1.01000000E-01,0.00008828,0.00002282,0.72762750,0.00005436,5.74535000,0.00000869,0.00000907,0.00009870,0.00002752
1.02000000E-01,0.00008822,0.00002687,0.75823240,0.00005433,5.71213500,0.00000868,0.00000907,0.00009864,0.00002750
1.03000000E-01,0.00008816,0.00003155,0.78930730,0.00005430,5.67811800,0.00000868,0.00000906,0.00009858,0.00002749
1.04000000E-01,0.00008811,0.00003696,0.82082980,0.00005426,5.64335200,0.00000868,0.00000906,0.00009851,0.00002747
1.05000000E-01,0.00008805,0.00004319,0.85277750,0.00005423,5.60789000,0.00000867,0.00000905,0.00009845,0.00002745
1.06000000E-01,0.00008800,0.00005032,0.88512710,0.00005420,5.57177900,0.00000867,0.00000905,0.00009838,0.00002744
1.07000000E-01,0.00008794,0.00005849,0.91785560,0.00005417,5.53506800,0.00000866,0.00000904,0.00009832,0.00002742
1.08000000E-01,0.00008789,0.00006781,0.95093950,0.00005413,5.49780200,0.00000866,0.00000904,0.00009826,0.00002741
1.09000000E-01,0.00008783,0.00007841,0.98435500,0.00005410,5.46002500,0.00000865,0.00000903,0.00009819,0.00002739
1.10000000E-01,0.00008778,0.00009044,1.01807800,0.00005407,5.42177700,0.00000865,0.00000903,0.00009813,0.00002738
1.11000000E-01,0.00008772,0.00010406,1.05208600,0.00005404,5.38310000,0.00000865,0.00000902,0.00009807,0.00002736
1.12000000E-01,0.00008767,0.00011945,1.08635400,0.00005400,5.34403100,0.00000864,0.00000902,0.00009800,0.00002735
1.13000000E-01,0.00008761,0.00013679,1.12085800,0.00005397,5.30460800,0.00000864,0.00000901,0.00009794,0.00002733
1.14000000E-01,0.00008756,0.00015628,1.15557500,0.00005394,5.26486500,0.00000864,0.00000901,0.00009788,0.00002731
1.15000000E-01,0.00008750,0.00017814,1.19048100,0.00005391,5.22483500,0.00000864,0.00000901,0.00009781,0.00002730
1.16000000E-01,0.00008745,0.00020261,1.22555200,0.00005387,5.18455200,0.00000863,0.00000900,0.00009775,0.00002728
1.17000000E-01,0.00008739,0.00022993,1.26076500,0.00005384,5.14404600,0.00000863,0.00000900,0.00009769,0.00002727
1.18000000E-01,0.00008734,0.00026039,1.29609700,0.00005381,5.10334500,0.00000863,0.00000899,0.00009763,0.00002725
1.19000000E-01,0.00008728,0.00029426,1.33152500,0.00005378,5.06247900,0.00000863,0.00000899,0.00009756,0.00002724
1.20000000E-01,0.00008723,0.00033185,1.36702700,0.00005374,5.02147300,0.00000863,0.00000898,0.00009750,0.00002722
1.21000000E-01,0.00008717,0.00037350,1.40257900,0.00005371,4.98035400,0.00000863,0.00000898,0.00009744,0.00002721
1.22000000E-01,0.00008712,0.00041955,1.43816100,0.00005368,4.93914500,0.00000864,0.00000897,0.00009737,0.00002719
1.23000000E-01,0.00008706,0.00047038,1.47374900,0.00005365,4.89787000,0.00000864,0.00000897,0.00009731,0.00002717
1.24000000E-01,0.00008701,0.00052637,1.50932400,0.00005361,4.85655100,0.00000865,0.00000896,0.00009725,0.00002716
1.25000000E-01,0.00008695,0.00058795,1.54486400,0.00005358,4.81520800,0.00000866,0.00000896,0.00009719,0.00002714
1.26000000E-01,0.00008690,0.00065555,1.58034900,0.00005355,4.77386300,0.00000867,0.00000895,0.00009712,0.00002713
1.27000000E-01,0.00008684,0.00072963,1.61575800,0.00005352,4.73253300,0.00000868,0.00000895,0.00009706,0.00002711
1.28000000E-01,0.00008679,0.00081069,1.65107200,0.00005349,4.69123600,0.00000870,0.00000894,0.00009700,0.00002710
1.29000000E-01,0.00008673,0.00089924,1.68627200,0.00005345,4.64999100,0.00000872,0.00000894,0.00009694,0.00002708
1.30000000E-01,0.00008668,0.00099581,1.72133900,0.00005342,4.60881300,0.00000874,0.00000894,0.00009687,0.00002707
1.31000000E-01,0.00008662,0.00110098,1.75625500,0.00005339,4.56771800,0.00000877,0.00000893,0.00009681,0.00002705
1.32000000E-01,0.00008657,0.00121532,1.79100200,0.00005336,4.52672000,0.00000881,0.00000893,0.00009675,0.00002704
1.33000000E-01,0.00008652,0.00133946,1.82556300,0.00005332,4.48583400,0.00000885,0.00000892,0.00009669,0.00002702
1.34000000E-01,0.00008646,0.00147405,1.85992100,0.00005329,4.44507100,0.00000890,0.00000892,0.00009663,0.00002701
1.35000000E-01,0.00008641,0.00161974,1.89406000,0.00005326,4.40444600,0.00000896,0.00000891,0.00009656,0.00002699
1.36000000E-01,0.00008635,0.00177725,1.92796500,0.00005323,4.36396900,0.00000902,0.00000891,0.00009650,0.00002698
1.37000000E-01,0.00008630,0.00194730,1.96161900,0.00005320,4.32365100,0.00000910,0.00000890,0.00009644,0.00002696
1.38000000E-01,0.00008624,0.00213064,1.99500900,0.00005316,4.28350400,0.00000919,0.00000890,0.00009638,0.00002694
1.39000000E-01,0.00008619,0.00232804,2.02812000,0.00005313,4.24353600,0.00000930,0.00000889,0.00009631,0.00002693
1.40000000E-01,0.00008614,0.00254033,2.06093900,0.00005310,4.20375800,0.00000942,0.00000889,0.00009625,0.00002691
1.41000000E-01,0.00008608,0.00276833,2.09345300,0.00005307,4.16417700,0.00000956,0.00000889,0.00009619,0.00002690
1.42000000E-01,0.00008603,0.00301291,2.12564800,0.00005304,4.12480300,0.00000972,0.00000888,0.00009613,0.00002688
1.43000000E-01,0.00008597,0.00327496,2.15751300,0.00005301,4.08564200,0.00000991,0.00000888,0.00009607,0.00002687
1.44000000E-01,0.00008592,0.00355539,2.18903700,0.00005297,4.04670200,0.00001012,0.00000887,0.00009601,0.00002685
1.45000000E-01,0.00008587,0.00385515,2.22020800,0.00005294,4.00799000,0.00001036,0.00000887,0.00009594,0.00002684
1.46000000E-01,0.00008581,0.00417521,2.25101500,0.00005291,3.96951100,0.00001063,0.00000886,0.00009588,0.00002682
1.47000000E-01,0.00008576,0.00451656,2.28145000,0.00005288,3.93127200,0.00001094,0.00000886,0.00009582,0.00002681
1.48000000E-01,0.00008571,0.00488021,2.31150100,0.00005285,3.89327900,0.00001129,0.00000886,0.00009576,0.00002679
1.49000000E-01,0.00008565,0.00526722,2.34116100,0.00005281,3.85553500,0.00001168,0.00000885,0.00009570,0.00002678
1.50000000E-01,0.00008560,0.00567866,2.37042000,0.00005278,3.81804700,0.00001213,0.00000885,0.00009564,0.00002676
1.51000000E-01,0.00008555,0.00611561,2.39927000,0.00005275,3.78081800,0.00001263,0.00000885,0.00009558,0.00002675
1.52000000E-01,0.00008549,0.00657920,2.42770400,0.00005272,3.74385200,0.00001319,0.00000884,0.00009551,0.00002673
1.53000000E-01,0.00008544,0.00707054,2.45571500,0.00005269,3.70715200,0.00001382,0.00000884,0.00009545,0.00002672
1.54000000E-01,0.00008538,0.00759082,2.48329600,0.00005266,3.67072300,0.00001453,0.00000884,0.00009539,0.00002670
1.55000000E-01,0.00008533,0.00814120,2.51044100,0.00005262,3.63456800,0.00001532,0.00000884,0.00009533,0.00002669
1.56000000E-01,0.00008528,0.00872287,2.53714300,0.00005259,3.59868800,0.00001620,0.00000883,0.00009527,0.00002667
1.57000000E-01,0.00008522,0.00933707,2.56339700,0.00005256,3.56308600,0.00001719,0.00000883,0.00009521,0.00002666
1.58000000E-01,0.00008517,0.00998501,2.58919900,0.00005253,3.52776600,0.00001828,0.00000883,0.00009515,0.00002664
1.59000000E-01,0.00008512,0.01066795,2.61454400,0.00005250,3.49272700,0.00001950,0.00000883,0.00009509,0.00002663
1.60000000E-01,0.00008506,0.01138716,2.63942700,0.00005247,3.45797400,0.00002085,0.00000883,0.00009503,0.00002661
1.61000000E-01,0.00008501,0.01214391,2.66384600,0.00005244,3.42350600,0.00002234,0.00000883,0.00009496,0.00002660
1.62000000E-01,0.00008496,0.01293950,2.68779500,0.00005240,3.38932500,0.00002399,0.00000884,0.00009490,0.00002658
1.63000000E-01,0.00008491,0.01377524,2.71127300,0.00005237,3.35543300,0.00002582,0.00000884,0.00009484,0.00002657
1.64000000E-01,0.00008485,0.01465243,2.73427700,0.00005234,3.32183000,0.00002783,0.00000885,0.00009478,0.00002655
1.65000000E-01,0.00008480,0.01557240,2.75680400,0.00005231,3.28851700,0.00003005,0.00000885,0.00009472,0.00002654
1.66000000E-01,0.00008475,0.01653649,2.77885200,0.00005228,3.25549500,0.00003249,0.00000886,0.00009466,0.00002652
1.67000000E-01,0.00008469,0.01754605,2.80042000,0.00005225,3.22276300,0.00003517,0.00000887,0.00009460,0.00002651
1.68000000E-01,0.00008464,0.01860240,2.82150700,0.00005222,3.19032200,0.00003812,0.00000888,0.00009454,0.00002649
1.69000000E-01,0.00008459,0.01970692,2.84211000,0.00005218,3.15817300,0.00004135,0.00000890,0.00009448,0.00002648
1.70000000E-01,0.00008453,0.02086094,2.86223100,0.00005215,3.12631400,0.00004488,0.00000891,0.00009442,0.00002646
1.71000000E-01,0.00008448,0.02206584,2.88186700,0.00005212,3.09474700,0.00004875,0.00000894,0.00009436,0.00002645
